`` ``
property NN
prop NN
proposals NNS
proposed VBN
propped VBN
prosaic JJ
prospecting JJ
prospective JJ
prospect NN
prostitutes NNS
protected VBN
protecting VBG
protective JJ
protein NN
protein-protein JJ
proteins NNS
prototype NN
proud JJ
proudly RB
proved VBN
provided VBD
provided VBN
provides VBZ
provide VB
Provinces NNS
proving VBG
provokes VBZ
provoke VB
prowling VBG
Prue NNP
psalms NNS
psalteries NNS
psycholinguistic JJ
psychologist NN
psychology NN
p�t� NN
publications NNS
publicizing VBG
public JJ
Public JJ
public NN
published VBD
published VBN
publisher NN
publishing VBG
publish VB
pubs NNS
puddles NNS
pulled VBD
pull VB
pulse NN
pulsing VBG
pump VB
punctuated VBN
punishment NN
puppies NNS
pure JJ
purged VBN
purloined VBN
purported VBD
purposeful JJ
purpose NN
pursuing VBG
pushed VBD
pushing VBG
push NN
push VB
putative JJ
puts VBZ
putting VBG
put VB
put VBD
put VBN
put VBP
Puzzled JJ
puzzlement NN
puzzles NNS
pylon NN
Q. NN
quaked VBD
quaking VBG
quality NN
quantify VB
quantities NNS
quantum JJ
quarter-circle NN
quarter-mile JJ
quays NNS
queasy JJ
Queene NNP
quench VB
question NN
queues NNS
queuing VBG
quickening NN
quick JJ
quickly RB
quiet JJ
quietly RB
quiet NN
quirky JJ
quite PDT
quite RB
quivering NN
quote NN
R59 NN
RAAF NNP
raced VBD
race NN
Race NN
races NNS
races VBZ
Racial NNP
racing VBG
radioactive JJ
radio NN
Radio NN
rag NN
rail NN
railways NNS
rainbow NN
rain NN
raises VBZ
rally NN
Raman NN
ramp VB
range NN
Rangers NNP
ranges VBZ
ransom NN
ran VBD
rapidly RB
raspberrying VBG
rate NN
rates NNS
rather RB
rating NN
rationale NN
rationalized VBD
raving VBG
raw JJ
RCM JJ
reached VBD
reaching VBG
reach VB
reaction NN
react VB
readers NNS
reading VBG
read VB
ready JJ
Reaganism NN
realistic JJ
realist NN
reality NN
realization NN
realized VBD
realize VB
real JJ
really RB
Really RB
real RB
re-appropriation NN
re-argued VBN
rearranged VBN
reasonable JJ
reason NN
reasons NNS
rebate NN
rebelled VBD
recaptured VBN
received VBN
recent JJ
recently RB
receptors NNS
recesses NNS
recession NN
RECESSION NN
recess NN
Recipe NN
recipients NNS
recliner NN
reclining VBG
recognizable JJ
recognized VBN
recommends VBZ
reconstituted JJ
reconstitutes VBZ
recorders NNS
recording VBG
record NN
records NNS
record VBP
recovered VBN
re-create VB
recuperating VBG
reddening NN
re-directed VBD
red JJ
red NN
redrafted VBN
redress NN
reduce VB
Redundant JJ
reeling VBG
reemerge VB
re-emphasized VBD
reference NN
referring VBG
refinements NNS
refining JJ
reflecting VBG
refugees NNS
refused VBD
regarded VBN
regardless RB
regard NN
regenerates VBZ
regenerate VB
regenerating VBG
regeneration NN
regenerative JJ
regime NN
region NN
regions NNS
regret NN
regular JJ
regularly RB
regulated VBN
Regulation NN
Regulations NNS
regulator NN
rehearsed VBD
reject VB
rejoiced VBN
rejuvenators NNS
related VBD
related VBN
relation NN
relationship NN
relationships NNS
relations NNS
Relations NNS
relative JJ
relatively RB
relativity NN
relaxation NN
relevant JJ
relied VBN
religious JJ
Religious JJ
reline VB
re-live VB
reluctant JJ
remained VBD
remained VBN
remaining VBG
remains NNS
remain VB
remain VBP
remarkable JJ
remedy NN
remember VB
Remember VB
remember VBP
reminded VBN
remind VB
reminiscences NNS
Remmel NNP
removed JJ
removed VBD
removed VBN
renaissance NN
Renaissance NN
render VB
rendition NN
renewed VBN
renewing JJ
re-offend VBP
reordered VBN
repatriating VBG
repeatedly RB
replaced VBN
replacement NN
replace VB
replicates VBZ
replied VBD
reply VB
reporter NN
report NN
reports NNS
repossessed VBN
Repossessed VBN
representation NN
represented VBN
represent VBP
reproachful JJ
reproduce VB
reproducing VBG
republished VBD
repulsed VBN
reputations NNS
request NN
required VBN
requires VBZ
require VBP
re-recording VBG
researchers NNS
research NN
Reselections NNS
resemble VB
Residence NNP
residential JJ
residents NNS
resisting VBG
resist VB
resonate VBP
resounding VBG
resource NN
respectively RB
respect NN
respite NN
response NN
responsible JJ
restaurants NNS
rest NN
restraint NN
restrain VB
restrictions NNS
resulting JJ
result NN
results NNS
Results NNS
result VB
retaliate VB
retard VB
retired VBN
retool VBP
retorted VBD
retrieved VBD
retrospect NN
return NN
return VB
retyped VBN
're VBP
revealed VBN
reversed VBD
reviewed VBN
revolutionary JJ
revolutionized VBD
Revolution NN
revolves VBZ
reward NN
rewire VB
Rex NNP
Rheims NNP
rhododendrons NNS
rhubarbed VBD
rhyme VBP
rhythmic JJ
rhythm NN
ribald JJ
ribs NNS
rice NN
Richard NNP
riches NNS
richest JJS
rich JJ
Richmann NNP
riddled VBN
rifled VBN
rifle NN
right JJ
right NN
right RB
rights NNS
right UH
Right UH
rig NN
ringing VBG
ring NN
rink NN
riot-torn JJ
rises VBZ
rising VBG
risk NN
ritual NN
riu NNP
Riu NNP
river NN
River NNP
rivers NNS
RJR NNP
road NN
Road NNP
roads NNS
robber NN
robed VBD
robe NN
Robert NNP
Robeson NNP
Robinson NNP
Robyn NNP
Rochard NNP
rocket NN
rock NN
Rocks NNS
rocky JJ
Rogal NNP
role NN
rolled VBD
romantically RB
romantic JJ
Romantic JJ
romped VBD
room NN
rooms NNS
roots NNS
Rory NNP
Rosa NNP
roses NNS
rose VBD
Rosin NNP
rotated VBD
rotor NN
rotting VBG
round IN
round RB
route NN
routes NNS
routines NNS
row NN
rubbishing VBG
rubbish NN
Rudakov NNP
rugby NN
rugged JJ
rugose JJ
rules NNS
Rules NNS
rumbling JJ
runaway JJ
runners NNS
run NN
runs VBZ
run VBP
rural JJ
rush NN
Russian JJ
Russia NNP
sabbatical NN
safe JJ
sagging VBG
said VBD
said VBN
saints NNS
sake NN
salad NN
salads NNS
salamander NN
salamanders NNS
Salamanders NNS
sales NNS
Sally NNP
salt NN
saluting VBG
same JJ
sanctions NNS
sanctuary NN
Sandinista NNP
Sandra NNP
sandstone NN
sandwiches NNS
sap NN
Sarah NNP
satisfied JJ
saturation NN
Saturday NNP
sat VBD
saucers NNS
saved VBD
save VB
saving VBG
saw VBD
saying VBG
says VBZ
say VB
say VBP
scaffold JJ
scaffold NN
scale NN
scales NNS
scale VB
scaling-ropes NNS
scalp NN
scanned VBN
scares VBZ
scar NN
scary JJ
Scathach NNP
scattered VBN
scene NN
scenes NNS
Schaeffer NNP
schedule NN
scholar NN
school NN
School NNP
schools NNS
school VB
science NN
scientific JJ
scientists NNS
scooping VBG
scoop NN
scorched JJ
score NN
score VB
Scottish JJ
scours VBZ
scouting VBG
scramble NN
scraped VBD
scrape VB
scratched VBN
scratch NN
scrawled VBD
screaming VBG
scree NN
screen NN
screwing VBG
scripture NN
scrubbed JJ
scrubbed VBN
scuffling VBG
sculpted VBN
sculpture NN
seaboard NN
sealed VBN
seal VB
sea NN
Sean NNP
searching VBG
seas NNS
season NN
seated VBN
seat NN
seats NNS
secondary JJ
second-class JJ
second-hand JJ
second JJ
Second JJ
second NN
seconds NNS
secreted VBN
secretions NNS
secret JJ
secret NN
sections NNS
sector NN
secured VBD
securely RB
security NN
Sede NNP
seeded VBN
seed NN
seed VBD
seeing VBG
seeks VBZ
seemed VBD
seems VBZ
seem VB
seem VBP
seen VBN
sees VBZ
see VB
See VB
see VBP
segment NN
segregated VBN
seized VBN
selection NN
self-assurance NN
self-assured JJ
self-governing JJ
self NN
self-supporting VBG
Selhurst NNP
sell VBP
senior JJ
sensation NN
sensations NNS
sense NN
sentence NN
sentences NNS
sent VBD
separate JJ
September NNP
Sept. NNP
sequences NNS
serenading VBG
sergeant NN
series NN
serious JJ
seriously RB
servants NNS
served VBN
service NN
services NNS
sessions NNS
Sestos NNP
setbacks NNS
Seth NNP
set NN
sets VBZ
setting NN
settings NNS
settlement NN
settlements NNS
settles VBZ
settling VBG
set VBD
set VBN
seven CD
seventeen CD
several DT
several JJ
severe JJ
sewn VBN
sexiest JJS
Sex NN
sexual JJ
Sexual NNP
shabby JJ
shaking VBG
shaky JJ
shalt MD
shambled VBD
shape NN
shapes NNS
shards NNS
shared JJ
share VB
sharply RB
shattering NN
sheathed VBN
sheer JJ
sheet-like JJ
sheet NN
sheets NNS
shelf NN
shellfish NN
shells NNS
sheltered JJ
she PRP
She PRP
shifting VBG
shift NN
shimmering VBG
shines VBZ
shining VBG
shipment NN
Shirky NNP
Shirtliff NNP
shirt NN
shivered VBD
shocked VBD
shocker NN
shoe NN
shoeshine NN
shoes NNS
shook VBD
shootin' VBG
shoot VB
Shop NNP
Shoppers NNS
shopping NN
shortage NN
shortfall NN
short JJ
shortly RB
short RP
shot VBD
shoulder NN
shoulder-seam NN
shoulders NNS
should MD
shout NN
shouts NNS
showed VBD
showing VBG
shown VBN
shows VBZ
show VB
show VBP
shrimps NNS
shrugging VBG
shudder NN
shuffled VBD
shutting VBG
shy JJ
Siab NNP
sick JJ
side NN
sidled VBD
Siegfried NNP
Sieveking NNP
sight NN
signed VBD
signed VBN
significance NN
signs NNS
silence NN
silent JJ
silting VBG
silt NN
similar JJ
Similarly RB
simpered VBD
simple JJ
Simplesse NNP
simply RB
simulation NN
simultaneously RB
since IN
since RB
single JJ
Single JJ
singularity NN
sing VB
sinkhole NN
S.I. NNP
Sir NNP
sister NN
sites NNS
sitting VBG
Sitting VBG
situation NN
situations NNS
six CD
Sixties NN
size NN
Size NN
skating JJ
skating VBG
skeleton NN
sketchily RB
skies NNS
skilled JJ
skill NN
skills NNS
skimmed JJ
skinnier JJR
skin NN
skip VB
skirt NN
skullcap NN
sky NN
Skype NNP
Skype VBP
slalom NNP
slamming VBG
slapping VBG
Slater NNP
slaving JJ
sleeping NN
Sleeping NNP
sleep VBP
sleet NN
slide NN
slides NNS
slight JJ
slightly RB
slim JJ
slopped VBD
slotted VBN
slowly RB
slug NN
smaller JJR
small JJ
smart JJ
smeared VBN
smiled VBD
smiled VBN
smile NN
smiles VBZ
smile VB
smiling VBG
Smith NNP
smoke NN
smokes VBZ
smokin' VBG
smooth JJ
smoothly RB
smuggled VBN
snakes NNS
snap NN
snarled VBD
sneering JJ
sniffing VBG
sniggered VBD
S NNP
snore NN
snorkel NN
snorted VBD
snow-laden JJ
snow NN
snuffling VBG
soaking VBG
soap NN
soaring VBG
so CC
So CC
socialist JJ
social JJ
socially RB
societies NNS
society NN
sociologists NNS
sociology NN
sofa NN
softened VBD
soft JJ
soft-soled JJ
Software NN
soil NN
so IN
Sok NNP
Sokolova NNP
solar JJ
soldier NN
soldiers NNS
solely RB
Solicitors NNS
solid JJ
solution NN
solutions NNS
solved VBN
solve VB
somebody NN
someday RB
some DT
Some DT
somehow RB
someone NN
Someone NN
Some'ow RB
something NN
sometimes RB
somewhat RB
somewhere RB
song NN
songs NNS
son NN
sons NNS
soon RB
soothing JJ
sophisticated JJ
so RB
So RB
Soros NNP
sorry JJ
sorties NNS
sort NN
soughs NNS
sought VBN
soul NN
sound NN
sounds NNS
sounds VBZ
sound VB
Southampton NNP
south-east NN
Southern JJ
South NNP
southwards RB
Soviet JJ
space NN
Space NNP
span NN
spans VBZ
sparked VBD
sparked VBN
spasmodically RB
spattering VBG
spat VBD
spaying NN
Speaker NN
speakers NNS
special JJ
specifically RB
specifications NNS
specific JJ
specify VB
specimen NN
specimens NNS
spectacularly RB
spectrum NN
Spectrum NN
speculation NN
speed NN
spends VBZ
spend VB
Spenser NNP
spent VBD
sperm NN
sphere NN
spiders NNS
spiky JJ
spilling VBG
Spilsby NNP
spina JJ
spinal JJ
spine NN
spinescence NN
spines NNS
spin VB
spirit NN
Spiritualist NN
Spitfire NNP
splatter VB
splendid JJ
spliced VBN
splitting NN
spoken JJ
spoke VBD
spontaneous JJ
spontaneously RB
sports NNS
's POS
spot NN
sprawling VBG
spray-painted VBN
spread-eagled JJ
spread VBN
spring NN
springs NNS
sprinkle VB
sprouted VBD
's PRP
square JJ
square NN
squatters NNS
squealed VBD
squeezed VBD
squirmed VBD
stack VB
staff NN
stage NN
Stagnant JJ
stagnate VBP
stained JJ
stairs NNS
stammered VBD
stamp NN
standard JJ
standing VBG
stand NN
stands VBZ
stand VB
stares VBZ
staring VBG
star NN
starred VBN
stars NNS
started VBD
started VBN
starting VBG
Starting VBG
startled VBD
starts VBZ
start VB
start VBP
starved JJ
stated VBD
stated VBN
state NN
states NNS
stating VBG
station NN
statistical JJ
statistic NN
statuary NN
statuesque JJ
status NN
statutory JJ
stayed VBN
staying VBG
stay VB
Steadman-Hawkins NNP
steady JJ
stealing VBG
Steel NNP
steelworker NN
steeped VBN
stem NN
stench NN
stent NN
Stepan NNP
Stephen NNP
Stephenson NNP
step NN
stepping NN
stepping VBG
step VB
Steven/Annabelle NNP
stick NN
sticks NNS
stiffened VBD
still-life NN
still RB
Still RB
stimulation NN
stimuli NNS
stings NNS
stirrup NN
St NNP
stockinged VBN
stock NN
stolen JJ
stomach NN
stone NN
stones NNS
stood VBD
stopped VBD
stopped VBN
stop VB
Stop VB
stories NNS
storming VBG
storm NN
storms NNS
story NN
stove NN
straggling VBG
straightforward JJ
straight RB
strained VBD
strain NN
strand NN
strands NNS
strange JJ
strangely RB
stranger NN
strap NN
strategy NN
strayed VBD
stream NN
street NN
Street NNP
streets NNS
strength NN
Stretch NN
stretch VB
strict JJ
strike NN
string NN
stripes NNS
stroll VB
strong JJ
strongly RB
structure NN
Structure NN
structures NNS
struggled VBN
struggle NN
struggling VBG
stuck VBD
student NN
studied VBD
studied VBN
studio NN
study NN
study VB
stuffed VBD
stuffed VBN
stumped VBD
Stumpy JJ
Stuttgart NNP
style NN
Style NN
subdivided VBN
subjecting VBG
subject NN
subjects NNS
submerged VBN
sub NN
subsidence NN
subsides VBZ
substantial JJ
subtracting VBG
suburbias NNS
successful JJ
succession NN
success NN
such DT
Such DT
such IN
such JJ
such PDT
suddenly RB
suffered VBN
sufficiently RB
suffused VBD
suggested VBD
suggested VBN
suggesting VBG
suggestions NNS
suggests VBZ
suggest VB
suits NNS
Sultan NN
summer NN
Sunday NNP
sun NN
sunrise NN
superego NN
superhero NN
superimposed JJ
superiority NN
supermarket NN
superstitiously RB
supplemented VBN
suppleness NN
supplied VBD
supplied VBN
supplier NN
suppliers NNS
supply NN
support NN
support VB
supposed VBN
suppose VBP
suppressing VBG
sure JJ
surface NN
surge NN
surgeon NN
surgeons NNS
surgery NN
surprised JJ
surprised VBD
surprise NN
surprise VB
surprising JJ
surprisingly RB
surreally RB
surrogate JJ
surrounded VBN
survey NN
survival NN
Susannah NNP
Susan NNP
suspecting VBG
suspended VBN
suspension NN
sustainable JJ
's VBZ
swamped VBN
swaying VBG
sway VB
Sweden NNP
Swedes NNS
sweeping VBG
Sweetman NNP
swelled VBD
Swifton NNP
swimming VBG
swinging JJ
Swiss JJ
switched VBD
switch NN
Switzerland NNP
sword NN
syllable NN
Sylvia NNP
symbol NN
symbols NNS
synthesized VBN
Syria NN
system NN
systems NNS
tableaux NNS
table NN
tables NNS
tackles VBZ
tails NNS
taken VBN
takes VBZ
take VB
Take VB
take VBP
taking VBG
tale NN
talked VBD
talked VBN
talking VBG
talk NN
talks VBZ
talk VB
talk VBP
tamed VBN
tank NN
tanks NNS
tantalizing JJ
Tao NNP
tape NN
taps NNS
tasking VBG
tasks NNS
taste NN
tattooed VBN
Taylor NNP
teacher NN
teachers NNS
teaching NN
teach VB
team NN
teamwork NN
tea NN
tearing VBG
tear NN
tease VB
Tebbit NNP
technical JJ
technician NN
techniques NNS
technologies NNS
technology NN
tectonic JJ
TED NNP
TEDster NN
teenage JJ
teenagers NNS
teeth-clenching NN
teeth NNS
Telegraph NNP
telescope NN
Telescope NNP
telling VBG
tells VBZ
tell VB
tell VBP
temple NN
temples NNS
temporarily RB
temporary JJ
tempted VBN
ten CD
tendency NN
tenderly RB
tend VBP
Tennessee NNP
tensile JJ
tensions NNS
term NN
terms NNS
terribly RB
terrifies VBZ
territory NN
terrorist NN
terror NN
ter TO
Test NN
test VB
textbook NN
texting NN
texting VBG
texts NNS
than IN
Thanks NNS
thank VB
Thank VB
thank VBP
thatched JJ
that DT
That DT
that IN
That IN
that RB
that WDT
theaters NNS
the DT
The DT
their PRP$
Their PRP$
theme NN
themes NNS
them PRP
themselves PRP
then RB
Then RB
Theodore NNP
theoretical JJ
theories NNS
theory NN
therapies NNS
thereby RB
there EX
There EX
therefore RB
there RB
There RB
there RP
these DT
These DT
thesis NN
they PRP
They PRP
thick JJ
thing NN
things NNS
thinking VBG
thinks VBZ
think VB
Think VB
think VBP
third JJ
thirst NN
thirsty JJ
thirteen CD
thirteenth JJ
this DT
This DT
Thomas NNP
those DT
Those DT
though IN
thoughtful JJ
thought NN
thoughts NNS
thought VBD
thought VBN
Thou NN
thou PRP
threats NNS
three-breasted JJ
three CD
Three CD
threw VBD
thrills NNS
throat NN
throbbing VBG
thronging VBG
through IN
throughout IN
through RB
through RP
throwing VBG
throw VB
thumping VBG
thus RB
Thus RB
thwanging VBG
tidbits NNS
tides NNS
tidy JJ
tie NN
ties VBZ
tightly RB
tight RB
till IN
tilting VBG
time-devouring VBG
timed VBN
time NN
Time NNP
times NNS
Tim NNP
tines NNS
tingling VBG
tiny JJ
tip NN
tips NNS
tired JJ
tissue NN
titillation NN
title NN
toasts VBZ
today NN
Today NN
toe NN
toes NNS
together RB
to IN
told VBD
told VBN
Tolstoy NNP
tomatoes NNS
tomb NN
Tommy NNP
tomorrow NN
tomorrow RB
tongue NN
tonic JJ
tonight RB
took VBD
tool NN
tools NNS
too RB
toothbrush NN
toothglass NN
top NN
tormenting JJ
Tory JJ
toss VBP
total JJ
to TO
To TO
touched VBD
touched VBN
touch NN
tough JJ
Toulouse-Lautrec NNP
towards IN
town NN
toy NN
traced VBN
track NN
trades NNS
trading JJ
trading NN
tradition NN
traditions NNS
tragedies NNS
trainer NN
train NN
transcendent JJ
transcribed VBN
transcript NN
transcripts NNS
transection NN
Transformational JJ
transience NN
translates VBZ
transmitter NN
transmitting VBG
transpired VBD
transplanted VBN
transplants NNS
trans-situational JJ
traveler NN
travel VB
traverse VBP
treasure NN
treated VBN
treaty NN
TreeMaker NNP
tree NN
trees NNS
trembled VBD
trembling VBG
Trestle NN
trial NN
trials NNS
triangles NNS
tribe NN
Tribunal NN
tricksters NNS
tried VBD
triglycerides NNS
Tri-Pacer NN
tripled VBN
tropical JJ
tropic JJ
trousers NNS
trout NN
truce NN
trudged VBD
true JJ
truly RB
trunks NNS
trying VBG
Trying VBG
try VB
tubes NNS
tucked VBN
tucking VBG
tugged VBD
tune VBP
tunnels NNS
turbulence NN
Turkey NN
turned VBD
turned VBN
turn NN
turns VBZ
turn VB
twenty CD
twice RB
twilight NN
twin NN
twist NN
twitched VBD
two-bedroomed JJ
two CD
Two CD
two-colorability JJ
two-mile JJ
two-thirds RB
two-way JJ
type NN
types NNS
typical JJ
tyres NNS
UEFA NNP
unable JJ
unacceptable JJ
unbuttoned VBD
unchanged JJ
uncharted JJ
unclean JJ
uncomfortable JJ
uncommon JJ
uncompromising JJ
unconcerned JJ
unconscious JJ
uncut JJ
underestimated VBN
underground RB
under IN
Under IN
underlying JJ
underlying VBG
undermines VBZ
underrated JJ
understanding VBG
understand VB
understood VBD
undertakings NNS
underwritten VBN
unemployment NN
uneven JJ
unexpected JJ
unfair JJ
unfavorably RB
unflexed VBD
unfolds VBZ
unfold VB
unfortunate JJ
unfortunately RB
Unfortunately RB
UNICEF NNP
uninterested JJ
union NN
unique JJ
United3 NNP
United NNP
united VBN
unit NN
units NNS
universe NN
University NN
University NNP
Unknowing NN
unlearn VB
unlined JJ
unmarried JJ
unpacked VBN
unpaid JJ
unprecedented JJ
unreasonable JJ
unreeling VBG
unrelated JJ
Unrest NNP
Unrivalled JJ
unsettled JJ
unskinned VBN
unsolicited JJ
unstable JJ
unsuccessful JJ
unsurprising JJ
until IN
Until IN
unto IN
untying VBG
unwanted JJ
unwholsome JJ
unwieldy JJ
unwrap VB
unzipped VBN
upbeat JJ
update VB
up IN
uplifting JJ
upon IN
upper JJ
up RB
up RP
upsetting VBG
upstairs RB
up-to-date JJ
upward RB
upwards RB
urethras NNS
urgent JJ
urine NN
used VBD
used VBN
useful JJ
usefulness NN
use NN
user NN
uses VBZ
use VB
Use VB
use VBP
U-shaped JJ
using VBG
usin' VBG
U.S. NNP
US NNP
us PRP
usually RB
USX NNP
utilitarians NNS
utilized VBD
uttering VBG
utterly RB
Uvulites NNPS
vaccination NN
valid JJ
Valley NNP
valuable JJ
value NN
values NNS
valve NN
valves NNS
variables NNS
variations NNS
variety NN
various JJ
variously RB
Vaughan NNP
vaults NNS
VC-10 NNP
veal NN
vegetables NNS
vehicle NN
veiled VBN
veins NNS
venture NN
Vera NNP
verging VBG
Verkhovensky NNP
Vernon NNP
verse NN
version NN
very RB
vessel NN
vessels NNS
've VBP
viable JJ
via IN
vibrancers NNS
vicious JJ
victory NN
Video NNP
viewed VBN
view NN
View NN
village NN
villa NN
v. IN
violence NN
Violeta NNP
virtual JJ
virtues NNS
visibility NN
vision NN
visions NNS
visited VBD
visit NN
visit VB
visual JJ
visuals NNS
vital JJ
vitro NN
viva FW
vivo NN
VLDL NNP
V NNP
vocabulary NN
vocalist NN
voce FW
voice NN
volunteer VB
Volvo NNP
vomited VBD
voracity NN
voter NN
vulgar JJ
vulva NN
wafers NNS
wagged VBD
wagons NNS
wailed VBD
waistcoat NN
waited VBD
waiting VBG
Wakefield NNP
wakes VBZ
wake VB
Wales NNP
walked VBD
walking VBG
walk NN
walks NNS
walks VBZ
walk VB
wall NN
walls NNS
wall-tops NNS
Walter NNP
Walt NNP
wandered VBD
wandering VBG
wanted VBD
wanting VBG
wants VBZ
want VB
want VBP
war-battered JJ
wardrobe-woman NN
warehouse NN
warfare NN
Warhurst NNP
warm JJ
warning NN
war NN
War NN
Warnock NNP
Warren NNP
washing JJ
was VBD
watched VBD
Watching VBG
watch VB
Watch VBZ
water-butt NN
water NN
Water NN
Water NNP
Watts NNP
waved VBD
waver VB
Wayland NNP
waylaying VBG
Wayne NNP
way NN
way RB
ways NNS
wayward JJ
weak JJ
weakness NN
wealthy JJ
weapons NNS
weathering VBG
Weather NN
Webb NNP
Weberian JJ
website NN
wedding NN
wedge NN
Wednesday NNP
weed NN
weeds NNS
weekend NN
weekly JJ
week NN
weeks NNS
weep VB
weight NN
Weight NN
weighty JJ
weird JJ
well-being NN
well RB
well-timed JJ
well UH
Well UH
Welsh JJ
Welsh NNP
went VBD
we PRP
We PRP
wept VBD
were VBD
Western JJ
West NN
West NNP
westwards RB
wet JJ
whatever WDT
Whatever WDT
what WDT
What WDT
what WP
What WP
whence WRB
whenever WRB
when WRB
When WRB
whereas IN
Whereas IN
Where IN
whereupon WH
where WRB
Where WRB
whether IN
Whether IN
whey NN
which WDT
Which WDT
while IN
While IN
whilst IN
whirled VBD
whisky NN
whistles NNS
white JJ
white NN
whole JJ
whom WP
whose WP$
who WP
Who WP
why WRB
Why WRB
wide JJ
wider JJR
wife NN
wiki NN
Wilde NNP
wild JJ
wildly RB
willed VBN
willing JJ
will MD
Will MD
Willmott NNP
will NN
winded VBN
wind NN
window NN
Windows NNPS
Windows NNS
winds NNS
wine NN
wings NNS
winter NN
wire NN
wiry JJ
wisdom NN
WISER NNP
wish VBP
withered VBD
withering JJ
with IN
With IN
within IN
without IN
without RB
withstand VB
witness NN
wives NNS
WJEC NNP
W. NNP
woken VBN
wolves NNS
woman NN
Women NNP
women NNS
wonderful JJ
wonders NNS
won VBD
wooden JJ
woodland NN
wood NN
woolly JJ
wool NN
word NN
words NNS
wore VBD
worked VBD
workers NNS
workforce NN
working-class JJ
working JJ
working NN
working VBG
work NN
workplace NN
works NN
works NNS
works VBZ
work VB
work VBP
world NN
World NN
World NNP
worldwide JJ
worms NNS
worn JJ
worried JJ
worse JJR
worse RBR
worship NN
worth JJ
would MD
Would MD
wound VBD
wrapped VBD
wriggling VBG
wrinkled VBD
writers NNS
write VB
Write VB
writings NNS
writing VBG
written VBN
wrong JJ
wrote VBD
wrung VBN
Wye NNP
Xerxes NNS
Xigi.net NNP
yacht NN
yah PRP
yaps NNS
yard NN
YB NNP
Yeah UH
year NN
years NNS
yeast NN
Yen NNP
yet RB
York NNP
young JJ
Young JJ
youngsters NNS
You NNP
you PRP
You PRP
your PRP$
Your PRP$
yourself PRP
Youth NN
y-ray NN
Yugoslavs NNS
Yves NNP
Zarathustra NNP
Zaria NNP
zeitgeist NN
Zeppelin NNP
zero CD
zest NN
Zhong NNP
zip NN
z NN
zoom VB
